ID,our_ID,RA,DEC,zlens,voted_class,CATALOGUE,Identified,ztype
,J000003.495-00030.361,3.49537,-30.361276,1.325,Class B.,astrodeep,False,zphot
ABELL2744_22525,J000003.500-00030.360,3.499966,-30.359605,0.317,Class B.,astrodeep,False,zspec
ABELL2744_23664,J000003.532-00030.360,3.532148,-30.36038,0.315,Class C.,astrodeep,False,zspec
,J000003.537-00030.361,3.536551,-30.361421,0.7,Class B.,astrodeep,False,zphot
ABELL2744_15500,J000003.554-00030.376,3.554197,-30.376287,0.309,Class A.,astrodeep,False,zspec
ABELL2744_31112,J000003.557-00030.341,3.557337,-30.340738,0.25,Class B.,astrodeep,False,zphot
ABELL2744_10084,J000003.575-00030.398,3.574892,-30.398356,0.318,Class C.,astrodeep,True,zspec
,J000003.577-00030.379,3.577022,-30.379466,0.498,Class B.,astrodeep,True,zspec
ABELL2744_21147,J000003.578-00030.359,3.578037,-30.359454,0.2,Class A.,astrodeep,False,zphot
ABELL2744_24307,J000003.579-00030.358,3.579403,-30.358357,0.305,Class C.,astrodeep,False,zspec
ABELL2744_1148,J000003.583-00030.434,3.583048,-30.433519,0.293,Class C.,astrodeep,True,zspec
ABELL2744_4459,J000003.585-00030.422,3.58462,-30.421733,0.775,Class B.,astrodeep,False,zphot
ABELL2744_13110,J000003.585-00030.388,3.585307,-30.387526,0.301,Class C.,astrodeep,True,zspec
ABELL2744_11690,J000003.588-00030.395,3.588142,-30.39506,0.3,Class B.,astrodeep,True,zspec
ABELL2744_13465,J000003.595-00030.389,3.595497,-30.388669,0.303,Class C.,astrodeep,True,zspec
ABELL2744_25433,J000003.596-00030.353,3.59604,-30.352626,0.254,Class A.,astrodeep,False,zspec
ABELL2744_13454,J000003.610-00030.382,3.609545,-30.382099,0.25,Class A.,astrodeep,True,zphot
ABELL2744_19792,J000003.621-00030.370,3.620714,-30.36954,0.275,Class B.,astrodeep,False,zphot
,J000003.624-00030.370,3.62431,-30.36953,0.295,Class C.,astrodeep,False,zspec
ABELL2744_2236,J000003.641-00030.433,3.64147,-30.433118,0.75,Class C.,astrodeep,False,zphot
PRIMER-UDS_50243,J000034.276-00005.222,34.275995,-5.221575,0.628,Class A.,astrodeep,False,zspec
PRIMER-UDS_44433,J000034.319-00005.237,34.318519,-5.237388,1.39,Class B.,astrodeep,False,zspec
PRIMER-UDS_753,J000034.340-00005.317,34.340047,-5.316749,0.625,Class A.,astrodeep,False,zphot
PRIMER-UDS_83561,J000034.355-00005.166,34.35506,-5.166309,1.575,Class C.,astrodeep,False,zphot
PRIMER-UDS_72509,J000034.393-00005.183,34.393328,-5.182571,0.496,Class B.,astrodeep,False,zspec
PRIMER-UDS_49028,J000034.405-00005.225,34.404784,-5.224862,0.646,Class A.,astrodeep,True,zspec
JADES-GS_1531,J000053.043-00027.905,53.042634,-27.904544,0.765,Class C.,astrodeep,False,zspec
JADES-GS_32872,J000053.054-00027.830,53.054271,-27.829564,0.66,Class C.,astrodeep,True,zspec
JADES-GS_8833,J000053.073-00027.880,53.072869,-27.88006,1.097,Class C.,astrodeep,False,zspec
JADES-GS_36896,J000053.097-00027.824,53.097066,-27.823978,1.158,Class B.,astrodeep,False,zspec
JADES-GS_14262,J000053.100-00027.871,53.100356,-27.870796,1.013,Class A.,astrodeep,False,zspec
,J000053.120-00027.842,53.119966,-27.842394,2.1,Class C.,astrodeep,False,zphot
,J000149.794+00002.008,149.79404,2.00824,1.414,Class A.,cosmos,False,zphot
COSJ095912+020750,J000149.802+00002.131,149.801604,2.130819,0.33,Class A.,COWLS,True,zphot
COSJ095914+021219,J000149.811+00002.205,149.811407,2.205425,1.053,Class C.,COWLS,True,zspec
COSJ095924+020807,J000149.851+00002.135,149.851139,2.135455,1.136,Class A.,COWLS,True,zspec
,J000149.855+00002.297,149.854701,2.296876,0.3453,Class C.,cosmos,False,zphot
,J000149.875+00002.231,149.874717,2.231156,0.4227,Class A.,cosmos,True,zphot
COSJ095940+023253,J000149.919+00002.548,149.918706,2.548231,0.4719,Class B.,COWLS,True,zphot
COSJ100004+015307,J000150.021+00001.885,150.020617,1.885335,0.338,Class C.,COWLS,True,zspec
,J000150.042+00002.069,150.041799,2.069472,0.6672,Class C.,cosmos,False,zphot
COSJ100011+021301,J000150.050+00002.217,150.049692,2.21715,0.2698,Class B.,COWLS,True,zphot
PRIMER-COSMOS_38523,J000150.074+00002.281,150.074389,2.280903,0.939,Class C.,astrodeep,False,zspec
,J000150.083+00002.150,150.083213,2.150062,0.4105,Class C.,cosmos,False,zphot
PRIMER-COSMOS_8436,J000150.093+00002.203,150.092521,2.202988,0.674,Class A.,astrodeep,False,zspec
PRIMER-COSMOS_46427,J000150.100+00002.297,150.100094,2.297128,0.362,Class A.,COWLS,True,zspec
,J000150.146+00002.061,150.146363,2.061356,0.6531,Class C.,cosmos,False,zphot
PRIMER-COSMOS_26353,J000150.184+00002.252,150.183582,2.252408,0.581,Class A.,COWLS,True,zspec
,J000150.305+00002.056,150.304627,2.055907,0.295,Class B.,COWLS,True,zspec
,J000150.331+00001.813,150.330832,1.813262,2.208,Class C.,COWLS,True,zphot
,J000150.333+00001.868,150.332709,1.868228,1.0059,Class C.,cosmos,False,zphot
